x,T_Cu_outer,T_PTFE,T_Cu_inner,dT,T_average
0.05683333333333333,274.6590956601569,274.6591277222956,274.65910829044213,1.2630285254999762e-05,274.65911055763155
0.06820000000000001,270.999913888425,270.9999468714056,270.9999272544786,1.3366053622121399e-05,270.9999293381031
0.07956666666666667,267.3438208288113,267.3438548098132,267.34383482041653,1.3991605214869196e-05,267.34383681968035
0.09093333333333334,263.6908583034903,263.69089337855854,263.6908728742983,1.4570807991276524e-05,263.6908748521157
0.1023,260.04107028632296,260.0411065636004,260.0410854287995,1.5142476513574366e-05,260.04108742624095
0.11366666666666667,256.39450311634926,256.3945407120505,256.3945188466983,1.5730349048226344e-05,256.39452089169936
0.12503333333333333,252.75120573752997,252.75124477357517,252.75122208662503,1.634909506265103e-05,252.75122419924338
0.13640000000000002,249.11122996776857,249.11127057042887,249.1112469757109,1.7007942346936034e-05,249.11124917130275
0.14776666666666669,245.47463080082164,245.47467309998646,245.47464851368994,1.771286829921337e-05,245.47465080483266
0.15913333333333335,241.84146674530723,241.84151087414443,241.8414852132385,1.8467931283794314e-05,241.84148761089673
0.1705,238.21180020567633,238.21184630054688,238.2118194817604,1.9276084060493304e-05,238.2118219959945
0.18186666666666668,234.58569791074342,234.58574611129376,234.58571805041976,2.0139676337294077e-05,234.58572069081896
0.19323333333333334,230.96323139620196,230.96328184558985,230.96325245697534,2.1060773377712394e-05,230.9632552329224
0.2046,227.34447754850228,227.344530393733,227.34449958986724,2.204136495720377e-05,227.34450251070086
0.21596666666666667,223.72951921855525,223.72957461092392,223.72954230206778,2.3083512530774897e-05,223.7295453771823
0.22733333333333333,220.11844591498823,220.11850401062645,220.11847010445263,2.418946439775027e-05,220.11847334335576
0.23870000000000002,216.5113545881259,216.51141554866558,216.51137994988443,2.5361758531516898e-05,216.5113833622253
0.25006666666666666,212.90835051754692,212.90841451091538,212.90837712087526,2.660332833670509e-05,212.90838071644583
0.26143333333333335,209.30954831800426,209.3096155193711,209.309576235629,2.7917624748852177e-05,209.3095800243348
0.27280000000000004,205.7150730807363,205.71514367364335,205.71510238950586,2.9308769569524884e-05,205.7151063812952
0.2841666666666667,202.1250616697839,202.12513584749198,202.12509245154325,3.0781759363662786e-05,202.125096656273
0.29553333333333337,198.5396641959187,198.53974216302169,198.53969653866722,3.2342748511382524e-05,198.5397009658692
0.3069,194.95904569423752,194.95912766860636,194.9590796936904,3.3999452881516845e-05,194.95908435217808
0.3182666666666667,191.38338803545642,191.38347425059888,191.38342379719376,3.576173733677024e-05,191.38342869441635
0.32963333333333333,187.81289210551245,187.81298281346602,187.81292974799885,3.764248640436563e-05,187.81293488899246
0.341,184.24778029333186,184.24787576825472,184.2478199522414,3.965890954304996e-05,184.2478253379427
0.35236666666666666,180.68829933262913,180.68839987532405,180.68834116714766,4.1834518526684406e-05,180.68834679170027
0.36373333333333335,177.1347235504381,177.13482949414995,177.13476775257877,4.420214065703476e-05,177.13477359905562
0.37510000000000004,173.58735858281813,173.58747030080377,173.58740539135064,4.680853251670669e-05,173.58741142499085
0.3864666666666667,170.04654562687145,170.04666354248496,170.04659534833712,4.9721465671836995e-05,170.04660150589785
0.39783333333333337,166.51266630788064,166.5127909082808,166.51271934850303,5.304062239019913e-05,166.5127255215548
0.4092,162.9861482509827,162.98628010612862,162.986205165338,5.6914355297976726e-05,162.98621117414976
0.4205666666666667,159.46747145822417,159.46761124767067,159.4675330236737,6.156544952773402e-05,159.46753857652283
0.43193333333333334,155.9571756038273,155.95732415510926,155.95724293449348,6.73306661838069e-05,155.9572475644767
0.4433,152.45586837259015,152.45602671692194,152.45594309390648,7.472131633790013e-05,152.4559460611395
0.45466666666666666,148.9642349777962,148.9644044317186,148.96431949359902,8.45158028255355e-05,148.96431963437126
0.46603333333333335,145.4830490046757,145.4832312906421,145.48314690523324,9.790055753455817e-05,145.48314240018368
0.47740000000000005,142.01318473160754,142.01338215699613,142.01330141550994,0.00011668390240515691,142.01328943470452
0.4887666666666667,138.55563108137267,138.55584680503767,138.55577470059953,0.00014361922686134676,138.55575086233662
0.5001333333333333,135.11150734530645,135.11174577494188,135.1116902363979,0.0001828910914412063,135.11164778554874
0.5115000000000001,131.68208079920555,131.68234818347804,131.6823216418166,0.0002408426110491746,131.68225020816672
0.5228666666666667,128.2687862846559,128.26909159398946,128.269113342237,0.000327057581102963,128.26899707362745
0.5342333333333333,124.87324775426057,124.87360398702823,124.87370371423627,0.00045595997569591873,124.87351848517503
0.5456000000000001,121.49730166286426,121.49772777442334,121.49795082399837,0.0006491611341061798,121.49766008709533
0.5569666666666667,118.14302191558005,118.14354565231433,118.14396079192089,0.0009388763408395562,118.14350945327176
0.5683333333333334,114.8127458414184,114.81340787834883,114.81411869434959,0.0013728529311833881,114.81342413803893
0.5797,111.50910033187427,111.50996026929658,111.51112173792613,0.0020214060518668475,111.51006077969899
0.5910666666666667,108.23502685194526,108.2361718332686,108.23801419961897,0.0029873476737094506,108.23640429494426
0.6024333333333334,104.99380348804952,104.99536046595968,104.99822330389955,0.0044198158500279305,104.99579575263624
0.6138,101.78906154820123,101.7912145545116,101.79559479984043,0.0065332516391976014,101.79195696751776
0.6251666666666666,98.62479350374218,98.62780766788597,98.63442650740883,0.009633003666650097,98.62900922634566
