x,T_SST,T_Cu,T_PTFE,T_SBS,dT,T_average
0.0,293.0,293.0,293.0,293.0,0.0,293.0
0.0033333333333333335,292.2099207582109,292.209930534516,292.20993615270777,292.20991941982015,-1.3383907457864552e-06,292.2099267163137
0.006666666666666667,291.42005944471504,291.42006861118415,291.42007436279516,291.42005794289287,-1.5018221688478661e-06,291.4200650903968
0.01,290.6304015355556,290.6304091295229,290.63041509606546,290.630400828443,-7.071126333357824e-07,290.63040664739674
0.013333333333333334,289.8409330595402,289.8409390147585,289.84094536350165,289.84093381144066,7.519004725509149e-07,289.84093781231024
0.016666666666666666,289.051640203533,289.0516445321884,289.0516513800328,289.0516428631467,2.659613699051988e-06,289.05164474472525
0.02,288.2625092751838,288.2625119921864,288.2625194183406,288.2625141426991,4.867515315254423e-06,288.26251370710247
0.023333333333333334,287.4735266986885,287.47352781589757,287.47353587375994,287.4735339729,7.27421149804286e-06,287.4735310903115
0.02666666666666667,286.6846790131106,286.6846785397489,286.68468726512816,286.6846888237082,9.810597589421377e-06,286.684683410424
0.030000000000000002,285.8959528705794,285.89595081393173,285.895960230663,285.8959653002041,1.2429624746346235e-05,285.89595730384457
0.03333333333333333,285.1073350342445,285.1073314001752,285.1073415239556,285.1073501335491,1.5099304619070608e-05,285.10733952298114
0.03666666666666667,284.3188123760652,284.31880716937786,284.31881801038503,284.31883017400014,1.779793495870763e-05,284.318816932457
0.04,283.53037187450326,283.5303650991875,283.5303766638683,283.5303923853413,2.051083805554299e-05,283.53037650572514
0.043333333333333335,282.74200061216754,282.7419922715692,282.74200456386217,282.74202384030184,2.322813429600501e-05,282.74200532197517
0.04666666666666667,281.95368577344067,281.9536758703786,281.95368889254814,281.9537117166619,2.5943221260149585e-05,281.95369056325734
0.05,281.1654146421119,281.16540317895925,281.1654169321666,281.1654432938463,2.8651734396589745e-05,281.165419511771
0.05333333333333334,280.37717459902774,280.37716157776805,280.3771760624602,280.37720594986445,3.135083670713357e-05,280.3771795472801
0.05666666666666667,279.5889531197704,279.588938542036,279.5889537582123,279.58898715850404,3.4038733645047614e-05,279.5889581446307
0.060000000000000005,278.80073777236987,278.8007216394696,278.8007375868632,278.80077448671125,3.671434137686447e-05,278.80074287135346
0.06333333333333334,278.01251621505315,278.01249852799157,278.0125152061935,278.01255559211324,3.937706009082831e-05,278.0125213853379
0.06666666666666667,277.2242761940318,277.22425695352246,277.22427436206624,277.2243182206506,4.202661881436143e-05,277.22428143256775
0.07,276.43600554132917,276.4359847478043,276.4360028862235,276.43605020429857,4.466296940108805e-05,276.4360108449139
0.07333333333333333,275.64769217264757,275.64766982626514,275.64768869413297,275.64773945886196,4.72862143965358e-05,275.6476975379769
0.07666666666666667,274.8593240852743,274.8593001859232,274.8593197828784,274.85937398183165,4.9896557356987614e-05,274.8593295089769
0.08,274.0708893560271,274.07086390333035,274.07088422909624,274.0709418502958,5.249426868658702e-05,274.0708948346874
0.08333333333333334,273.28237613923676,273.2823491325549,273.2823701869506,273.2824312189003,5.507966352524818e-05,273.2823816694106
0.08666666666666667,272.493772664767,272.4937441031994,272.4937658861486,272.4938303178518,5.765308480931708e-05,272.49377824299165
0.09000000000000001,271.70506723606997,271.7050371184566,271.70505962999283,271.70512745096346,6.0214893494503485e-05,271.7050728588707
0.09333333333333334,270.9162482282762,270.91621655319875,270.91623979346906,270.9163109937376,6.276546145045359e-05,270.9162538921704
0.09666666666666668,270.12730408631927,270.12727085210184,270.12729482136945,270.12736939148493,6.530516566272127e-05,270.1273097878189
0.1,269.3382233230915,269.33818852780064,269.3382132264463,269.3382911574772,6.783438573165768e-05,269.3382290587039
0.10333333333333335,268.54899451763197,268.54895815907724,268.5489835876001,268.54906487113317,7.035350120077055e-05,268.5490002838606
0.10666666666666667,267.7596063133447,267.75956838907837,267.7595945480971,267.7596791762352,7.286289047669925e-05,267.7596121066888
0.11,266.9700474162457,266.9700079235628,266.9700348138158,266.970122779176,7.536293031762398e-05,266.9700532332
0.11333333333333334,266.18030659323847,266.18026552917615,266.1802931515218,266.18038444723265,7.785399418480665e-05,266.18031243029225
0.11666666666666667,265.3903726704163,265.3903300317535,265.390358387171,265.39045300686945,8.03364531520856e-05,265.39037852405255
0.12000000000000001,264.60023453139127,264.60019031464725,264.6002194042362,264.60031734206586,8.281067459847691e-05,264.60024039808513
0.12333333333333334,263.80988111564716,263.80983531708154,263.80986514206256,263.8099663926703,8.527702311766916e-05,263.80988699186537
0.12666666666666668,263.01930141691713,263.0192540325283,263.0192845942432,263.0193891527776,8.773586046117998e-05,263.0193072991166
0.13,262.228484481585,262.2284355071089,262.22846680702133,262.2285746691301,9.018754514045213e-05,262.2284903662113
0.13333333333333333,261.4374194071074,261.43736883801597,261.4374008777114,261.4375120395404,9.263243299528767e-05,261.4374252905938
0.1366666666666667,260.64609534045815,260.6460431719581,260.6460759531446,260.64619041133517,9.507087702331773e-05,260.64610121922397
0.14,259.8545014765924,259.8544477036233,259.8544812281315,259.85459897982014,9.750322772106301e-05,259.8545073470418
0.14333333333333334,259.06262705693007,259.06257167416214,259.0626059439466,259.06272698676344,9.992983336815087e-05,259.0626329154506
0.14666666666666667,258.27046136785816,258.2704043696906,258.2704393868297,258.27056371889836,0.00010235104019784558,258.2704672108192
0.15000000000000002,257.47799373925005,257.47793511980854,257.47797088650555,257.4780985064424,0.00010476719234020493,257.4779995630016
0.15333333333333335,256.68521354300236,256.68515329613683,256.6851898147206,256.685320721635,0.00010717863261788807,256.6852193438737
