MassFlow,Q_Cryofan,Uncertainty,Model,M_uncertainty
0.616686,17.607,3.81447,14.7739166,0.13337
0.564051,16.5573,2.48603,14.58624688,0.0844574
0.476201,14.4613,5.47063,14.26139838,0.179969
0.354699,11.0194,2.26878,13.76507829,0.0728891
0.235809,8.18641,0.864393,13.17100397,0.0247821
0.148644,7.40479,0.889117,12.56326837,0.0177872
